,Unnamed: 0,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
3059,3059,972072583,1,2,52,23,2,5,12,500,C,48,1,L,2000,0,50,99,0,0
2139,2139,940343093,1,1,29,14,4,1,11,0,T,22,1,L,1371,0,110,99,0,0
5838,5838,201164192,1,1,62,**,4,1,#,0,H,15,1,a,324,0,50,99,0,2
6710,6710,972854121,1,1,14,**,4,1,#,0,T,50,1,#,540,0,100,99,0,0
471,471,969135948,1,2,14,**,2,1,12,0,C,36,1,L,864,0,20,99,0,0
5087,5087,247906129,1,2,28,8,2,1,#,500,T,28,#,#,960,1,1,3,5,0
2251,2251,971601056,1,2,25,**,4,1,11,0,C,20,1,a,324,0,100,3,3,0
6848,6848,945196415,1,1,23,23,2,1,#,0,C,15,1,L,1110,0,40,99,0,3
4011,4011,947902100,1,1,24,35,4,17,#,0,T,19,1,L,1820,0,80,99,0,1
3366,3366,954908624,1,2,29,10,4,1,#,0,T,24,1,L,324,0,100,99,0,1
6379,6379,945477751,1,1,26,38,3,17,#,0,K,17,1,L,8000,0,60,99,0,1
6701,6701,905927511,1,2,68,42,2,1,#,0,Q,58,1,L,1772,0,50,99,0,1
3091,3091,963058910,1,1,50,**,4,1,12,0,T,46,1,L,324,0,100,99,0,0
18,18,614832166,1,2,32,37,2,1,#,0,K,21,1,L,400,0,50,99,0,1
4687,4687,252693790,1,1,51,**,4,1,#,500,K,51,1,L,581,0,50,99,0,1
7482,7482,966931018,1,2,42,1,3,1,11,0,D,36,1,L,864,0,100,99,0,0
4231,4231,515478811,1,2,43,4,2,1,#,0,C,30,1,a,13032,0,60,99,0,1
7401,7401,997537247,1,1,29,43,2,1,#,500,Q,28,#,#,540,0,100,99,0,0
4774,4774,942382906,1,1,37,13,2,1,11,0,H,31,1,L,226,0,110,99,0,1
7336,7336,240883398,1,2,38,21,4,1,#,0,C,38,1,L,2980,0,70,99,0,0
4631,4631,325797925,1,2,47,13,4,1,#,0,T,35,1,L,2600,0,110,99,0,0
