,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
83,318693744,1,2,34,35,4,1,#,0,N,25,0,9,,,,,,
84,979032323,1,1,78,31,2,1,#,0,N,76,1,L,,,,,,
85,258765454,1,2,33,43,4,1,#,0,Q,33,1,R,,,,,,
86,963139935,1,1,18,**,4,1,#,0,C,44,1,L,90,0,,,,
87,973116253,2,#,0,27,2,3,#,0,T,999,1,L,,,,,,
88,248360970,2,#,0,13,4,3,#,0,T,999,0,9,,,,,,
89,972617478,1,2,23,**,2,1,#,0,T,21,1,L,,,,,,
90,948725567,1,1,25,13,2,1,11,0,T,21,1,L,,,,,,
91,243180642,1,2,25,11,4,25,12,0,T,25,1,L,670,0,80,99,0,1
92,963845096,1,1,26,27,3,1,#,0,K,24,1,L,,,,,,
93,980726289,1,1,19,29,4,17,12,0,K,17,1,L,,,,,,
94,967265797,1,1,25,26,2,8,#,0,K,23,#,#,,,,,,
95,248129923,1,1,26,23,4,1,11,0,T,26,1,L,9800,0,70,99,0,0
96,988644482,1,1,53,**,4,1,#,500,T,52,1,R,,,,,,
97,614832166,1,2,32,37,2,1,#,0,K,21,1,L,400,0,50,99,0,1
98,249925743,2,#,0,27,1,3,#,0,T,999,51,9,,,,,,
99,243533232,1,2,15,14,2,8,#,0,T,52,1,L,350,0,,,,
100,966198266,1,2,24,14,4,1,#,0,T,21,1,L,,,,,,
101,603588078,1,2,36,29,4,1,#,0,K,18,1,L,,,,,,
102,270641697,1,1,22,47,2,1,12,0,Q,22,1,a,,,,,,
103,262777733,1,1,53,23,4,1,12,0,C,24,1,a,,,,,,
104,953640225,1,2,63,13,4,6,#,0,T,58,61,P,,,,,,
105,962663875,2,#,0,27,90,3,12,0,T,999,51,#,,,,,,
106,994521560,1,1,66,31,4,1,12,0,T,65,1,R,,,,,,
107,603426709,1,1,43,33,4,1,#,0,K,25,1,L,,,,,,
108,507798572,1,1,39,23,2,1,#,0,C,25,1,L,9800,0,100,6,2,0
109,957958031,1,2,29,22,4,10,#,0,T,25,1,L,,,,,,
110,953950929,1,1,73,**,3,1,#,10,K,69,#,#,,,,,,
111,244501561,1,2,26,**,4,1,12,0,Q,25,1,L,,,,,,
112,969886389,2,#,0,14,2,1,#,0,T,999,51,#,,,,,,
113,254959661,1,2,48,13,4,1,12,0,T,51,1,a,1998,0,100,99,0,0
114,906258590,1,1,48,40,2,1,12,0,Q,39,1,L,,,,,,
115,340703632,1,1,56,37,2,1,11,0,T,48,1,L,2980,0,10,3,8,0
116,961607147,1,1,21,20,4,6,11,0,T,44,1,L,4138,0,80,99,0,1
117,983419192,1,1,22,13,4,26,11,0,T,44,1,L,,,,,,
118,255016750,2,#,0,13,2,3,#,0,T,999,51,9,,,,,,
119,993031856,1,2,27,**,2,1,#,0,K,26,1,L,,,,,,
120,252779361,2,#,0,27,1,3,#,0,T,999,0,9,,,,,,
121,964924167,1,1,68,**,2,1,12,0,K,64,1,L,,,,,,
122,996902559,1,1,69,27,4,1,#,500,K,68,1,R,,,,,,
123,974099427,1,1,32,**,4,1,11,500,T,31,1,L,,,,,,
124,951808254,1,1,31,27,2,1,11,0,K,26,1,L,,,,,,
125,994245482,1,1,30,27,2,1,12,0,K,29,1,L,,,,,,
126,273842960,1,1,26,11,4,1,11,0,T,26,1,a,,,,,,
127,978660989,1,1,46,23,2,1,#,0,C,44,1,L,,,,,,
128,974340633,1,2,35,40,3,1,#,0,Q,32,1,L,,,,,,
129,972748359,1,2,62,22,4,10,12,0,C,60,1,L,,,,,,
130,962042227,2,#,0,14,2,3,#,0,T,999,1,L,,,,,,
131,986519333,1,2,67,4,2,1,16,500,H,66,1,L,,,,,,
132,985093842,1,2,47,**,4,1,11,0,K,46,1,L,,,,,,
133,261391544,1,1,15,30,2,1,#,500,K,27,1,L,,,,,,
134,943508647,1,1,19,**,4,1,#,0,K,43,1,L,,,,,,
135,255721454,2,#,0,13,1,3,#,0,T,999,#,9,,,,,,
136,973285810,1,1,29,**,2,1,#,10,T,26,#,#,,,,,,
137,959624221,1,1,57,23,4,99,#,0,C,53,1,M,,,,,,
138,318374239,1,1,34,14,2,1,#,0,T,26,1,L,,,,,,
139,985194454,1,1,21,**,4,8,12,0,Q,16,1,a,9894,0,90,99,0,1
140,972058729,1,2,21,47,4,17,11,0,Q,18,1,L,2149,0,50,99,0,1
141,969849496,1,2,50,**,3,1,#,0,K,48,1,M,,,,,,
142,100196335,1,1,68,1,2,1,#,0,D,49,1,L,,,,,,
143,962904837,1,2,57,**,2,1,11,0,C,54,1,L,,,,,,
144,269521225,1,1,32,**,4,99,#,0,C,32,1,a,,,,,,
145,978950807,1,1,66,**,4,1,#,500,K,64,1,L,,,,,,
146,257230464,1,2,75,12,4,8,#,500,T,75,1,L,,,,,,
147,100685139,1,2,68,1,2,1,#,0,D,51,1,a,1020,0,90,99,0,1
148,989508024,1,2,15,23,4,1,#,0,C,44,1,a,1960,0,20,99,0,1
149,973113141,1,1,28,26,4,27,#,0,K,24,1,L,,,,,,
150,955059887,1,1,28,13,2,1,#,10,T,24,#,#,,,,,,
151,940360130,1,1,45,13,4,10,#,0,T,38,0,#,,,,,,
152,970071511,2,#,0,17,2,1,#,0,T,999,1,L,,,,,,
153,248836596,1,2,46,23,2,27,#,0,C,44,1,L,120,1,,,,
154,981876991,1,2,44,**,4,1,12,0,D,41,1,L,260,0,,,,
155,800549684,1,2,73,34,3,99,#,0,N,54,1,L,,,,,,
156,994497774,1,1,26,26,2,1,11,0,K,25,1,L,130,0,0,5,4,1
157,703601551,1,1,40,18,2,1,#,0,R,30,1,L,,,,,,
158,260682843,1,1,50,**,4,1,#,0,T,50,1,a,,,,,,
159,256800229,1,1,40,11,2,1,#,500,T,40,1,L,2634,1,1,3,1,0
160,261676413,1,1,31,14,4,6,#,500,T,31,#,9,,,,,,
161,253803161,1,2,50,23,4,1,12,0,T,55,1,a,200,0,60,99,0,0
162,506156617,1,1,72,23,2,1,#,0,C,56,1,L,,,,,,
163,249837239,2,#,0,13,90,1,#,0,T,999,51,9,,,,,,
164,949133117,2,#,0,21,2,1,#,0,T,999,1,L,,,,,,
165,904528914,1,1,49,43,2,99,#,0,Q,32,1,a,626,0,100,8,1,0
166,316707233,1,2,34,12,4,11,#,0,T,21,1,L,,,,,,
167,256223221,1,1,24,11,4,27,#,500,T,24,0,9,540,1,5,99,0,1
168,996495498,1,1,33,14,4,1,#,500,T,33,1,L,500,0,80,99,0,1
169,986206976,1,2,63,33,4,1,12,0,T,61,1,R,,,,,,
170,247551249,1,2,40,40,4,1,11,0,Q,39,1,a,560,0,50,99,0,0
171,984592656,1,2,39,**,4,1,12,0,T,37,1,L,240,0,100,99,0,0
172,326408256,2,#,0,13,2,99,#,0,T,999,0,0,,,,,,
173,516176276,1,2,19,24,2,1,#,0,C,35,1,L,,,,,,
174,962833882,1,2,37,1,4,1,#,0,D,32,1,L,,,,,,
175,304921587,1,1,67,21,2,1,#,0,T,53,1,L,,,,,,
176,992145745,1,2,14,**,4,1,#,0,T,41,61,P,,,,,,
177,509159511,1,1,57,34,4,1,#,0,T,51,1,0,,,,,,
178,972073367,1,2,36,22,2,1,11,0,C,30,1,a,756,0,100,99,0,0
179,970169508,1,1,62,12,2,1,#,0,T,61,1,L,,,,,,
180,303717767,1,1,39,34,2,1,#,0,T,21,1,L,,,,,,
181,840051691,1,2,76,13,2,1,#,0,T,47,1,L,,,,,,
