,Unnamed: 0,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
318,318,308546540,1,1,30,13,4,26,#,0,T,18,1,L,3400,0,90,99,0,1
325,325,986979969,1,2,45,33,2,99,#,0,N,43,1,L,85,1,3,6,7,0
336,336,324202786,1,2,39,13,4,99,#,0,T,21,1,a,324,0,100,99,0,0
338,338,403121613,1,2,56,33,2,99,#,0,S,40,1,L,194,0,100,99,0,0
339,339,949282494,1,2,60,3,2,1,12,0,H,18,1,L,240,0,100,99,0,0
344,344,995203108,1,2,33,40,4,1,11,500,Q,33,1,L,240,0,80,99,0,0
350,350,981110181,1,2,16,27,2,1,12,0,K,40,1,L,864,0,20,99,0,0
351,351,253497502,1,2,33,47,2,1,16,500,Q,33,1,L,120,1,30,99,0,0
354,354,242657748,1,1,28,9,2,1,#,0,T,28,1,L,7410,0,10,8,2,1
358,358,243635384,1,2,52,12,2,8,12,500,T,52,1,L,410,0,100,99,0,0
361,361,944531452,1,2,29,9,4,1,#,0,T,23,1,L,5400,0,120,99,0,1
367,367,960542693,1,2,42,**,4,1,11,0,T,36,1,a,648,0,100,99,0,0
371,371,991755060,1,1,20,13,4,1,#,0,T,42,1,a,4188,0,20,99,0,1
372,372,317966672,1,2,33,12,4,1,11,0,T,23,1,L,120,0,150,99,0,1
378,378,996023576,1,1,999,33,4,99,#,0,N,39,1,a,3000,1,3,99,0,0
379,379,241449623,1,1,24,**,4,1,12,0,C,21,1,L,2100,0,50,99,0,1
380,380,251131610,1,2,22,23,2,1,12,0,C,20,1,L,480,1,1,3,4,1
382,382,986620580,1,2,26,**,4,1,12,0,D,24,1,L,525,0,80,99,0,0
384,384,998086674,1,1,42,**,2,1,12,0,T,42,1,L,7120,0,10,4,1,1
386,386,971472317,1,1,18,5,2,1,#,0,H,38,1,L,1980,1,3,4,2,0
401,401,508972669,1,2,69,22,2,8,#,0,C,58,1,a,3420,0,50,99,0,1
403,403,997411795,1,2,16,38,2,1,#,0,S,39,1,L,1700,1,0,3,7,1
410,410,967128029,1,1,65,14,4,1,11,0,T,59,1,L,540,1,100,99,0,0
419,419,990999725,2,#,0,13,2,3,#,0,T,999,51,9,108,0,100,99,0,0
423,423,942098590,1,1,29,27,4,1,#,0,K,22,1,L,324,0,100,99,0,0
426,426,204968562,1,2,35,7,4,1,#,0,H,26,1,L,324,0,70,99,0,2
428,428,501294544,1,2,54,21,4,1,#,0,C,33,1,L,5,0,120,99,0,1
432,432,251326212,1,1,20,40,4,1,12,0,Q,56,1,L,700,0,20,99,0,1
435,435,986899069,1,2,18,10,2,1,12,0,T,50,1,L,640,0,20,99,0,0
446,446,941128857,1,1,52,**,4,1,#,0,T,45,1,L,120,0,110,99,0,0
449,449,991031031,1,1,55,11,4,1,#,500,T,52,1,L,320,0,80,99,0,0
450,450,991318818,1,2,37,27,2,1,12,0,K,36,1,L,230,0,60,99,0,0
451,451,604283580,1,2,46,27,4,8,#,0,K,29,1,L,594,0,90,99,0,1
463,463,247599269,1,2,45,40,4,1,#,0,Q,44,1,a,700,0,70,99,0,1
469,469,965645375,1,1,29,15,4,1,11,0,T,22,1,L,950,0,100,99,0,0
471,471,969135948,1,2,14,**,2,1,12,0,C,36,1,L,864,0,20,99,0,0
474,474,327139747,1,1,26,11,4,17,#,0,T,17,1,L,600,0,100,99,0,0
475,475,960472639,1,1,32,**,4,1,11,0,T,25,1,a,540,0,100,99,0,0
483,483,246057557,1,2,53,22,90,99,#,0,T,52,1,R,2527,0,100,99,0,1
484,484,953609610,1,1,12,40,2,1,#,0,Q,29,1,L,4880,0,20,99,0,0
490,490,248967918,1,1,41,22,2,1,16,500,C,41,1,L,120,0,50,99,0,0
496,496,516080541,1,1,57,34,2,20,#,0,C,45,1,a,7948,0,10,4,6,0
501,501,703698501,1,1,59,17,2,1,#,0,R,50,1,L,120,0,60,99,0,0
504,504,991385475,1,2,48,**,2,1,11,0,T,46,1,L,590,0,3,3,10,0
506,506,991303582,1,1,18,21,4,1,12,0,C,44,1,L,528,0,20,99,0,0
512,512,956121089,1,2,56,13,4,1,#,0,T,49,1,L,324,0,90,99,0,1
514,514,978306149,1,1,24,13,2,1,16,500,T,21,1,L,2040,1,0,5,8,0
517,517,983944224,1,1,7,14,4,1,11,0,T,39,1,L,108,0,100,99,0,0
519,519,944271710,1,2,29,13,4,1,12,0,H,22,1,L,20,0,100,99,0,1
523,523,505252494,1,2,36,23,4,99,#,0,C,19,1,L,960,0,110,99,0,0
525,525,300617180,1,2,50,12,4,99,#,0,T,28,1,L,1964,0,140,99,0,1
532,532,948735574,1,2,26,20,4,1,11,0,T,21,1,L,905,0,100,99,0,1
533,533,962447007,1,1,27,26,2,1,12,0,K,24,1,L,64,0,80,99,0,0
536,536,940405813,1,1,46,**,2,1,12,0,T,40,1,L,1500,0,70,99,0,0
537,537,906679243,1,2,22,40,2,1,#,0,Q,12,1,L,2200,0,60,99,0,0
538,538,964958464,1,1,25,**,4,1,#,0,N,21,1,L,1137,0,90,99,0,1
541,541,952908400,1,1,22,27,3,1,11,0,N,40,1,L,980,0,50,6,1,1
550,550,941461583,1,2,28,13,4,17,12,0,K,20,1,L,980,0,100,99,0,1
552,552,306681331,1,1,44,40,4,1,12,0,Q,34,1,L,2960,0,90,99,0,1
553,553,951001662,1,1,25,14,4,1,#,0,T,19,1,L,650,0,100,99,0,1
555,555,961245368,1,1,38,23,2,1,11,0,C,34,1,L,100,0,60,99,0,0
556,556,251762896,1,2,46,9,2,1,12,0,T,45,1,a,1550,0,50,99,0,0
558,558,951552623,1,1,27,**,4,1,11,0,T,19,1,a,648,0,90,99,0,0
559,559,245132964,1,2,60,40,2,1,#,0,Q,60,1,L,4642,0,40,99,0,1
561,561,948234468,1,2,53,**,4,1,11,0,T,47,1,L,540,0,110,99,0,1
563,563,940637650,1,1,37,14,2,1,11,0,T,27,1,a,10000,0,50,99,0,0
564,564,990094704,1,1,18,13,4,1,12,0,T,48,1,a,10797,0,20,10,1,1
571,571,309113559,1,1,29,14,2,99,#,0,T,18,1,a,500,0,0,3,4,1
575,575,250047689,1,2,64,1,2,1,12,0,D,62,1,L,120,0,3,99,0,0
577,577,506653268,1,2,31,24,3,1,#,0,C,14,1,L,69580,0,70,99,0,0
579,579,983329662,1,2,43,24,4,1,#,0,C,41,1,L,6744,0,90,99,0,0
580,580,259718504,1,1,76,40,4,1,16,0,Q,48,1,a,594,0,30,99,0,0
586,586,247516248,1,2,23,29,4,1,12,0,K,22,1,a,1500,0,80,99,0,0
599,599,966865211,1,2,26,21,2,17,#,0,C,20,1,L,4879,0,30,11,1,1
600,600,604382503,1,2,58,27,2,1,#,0,K,41,1,L,120,1,3,3,10,0
605,605,326287926,1,2,35,11,4,1,#,0,T,21,1,L,380,0,100,99,0,1
612,612,962063047,1,1,19,43,2,99,#,0,Q,53,1,L,2149,0,50,99,0,1
620,620,241291448,2,#,0,13,4,3,#,0,T,999,1,L,1922,0,50,99,0,1
623,623,254183009,1,2,49,33,2,1,#,0,N,49,1,a,480,0,5,99,0,0
